Rank,date,primaryTitle,budget,domestic_gross,world_gross
"2,283","Oct 7, 2011",Xinhai geming,"$30,000,000","$135,739","$8,593,154"
"2,693","Oct 7, 2011",The Ides of March,"$23,000,000","$40,962,534","$77,735,925"
"5,043","Oct 7, 2011",Blackthorn,"$4,500,000","$200,558","$1,217,307"
"4,600","Oct 7, 2014",Alpha & Omega: The Legend of the Saw Tooth Cave,"$7,000,000",$0,$0
"6,017","Oct 7, 2014",Doc Holliday’s Revenge,"$1,000,000",$0,$0
"1,558","Oct 7, 2016",A Monster Calls,"$43,000,000","$3,740,823","$46,414,530"
"4,070","Oct 7, 2016",The Birth of a Nation,"$10,000,000","$15,861,566","$16,891,011"
"4,340","Oct 7, 2016",Middle School: The Worst Years of My Life,"$8,500,000","$20,007,149","$23,311,293"
"2,590","Oct 8, 1993",Gettysburg,"$25,000,000","$10,731,997","$10,731,997"
885,"Oct 8, 1997",Seven Years in Tibet,"$70,000,000.00","$37,945,884.00","$131,445,884.00"
992,"Oct 8, 1999",Random Hearts,"$64,000,000","$31,054,924","$63,200,000"
"4,140","Oct 8, 1999",The Limey,"$10,000,000","$3,193,102","$6,030,047"
"5,560","Oct 8, 1999",Boys Don't Cry,"$2,000,000","$11,540,607","$20,741,000"
"6,106","Oct 8, 1999",Naturally Native,"$700,000","$10,508","$10,508"
"3,514","Oct 8, 2001",Mulholland Drive,"$15,000,000","$7,219,578","$20,780,568"
"2,117","Oct 8, 2003",Mystic River,"$30,000,000","$90,135,191","$156,822,020"
"2,139","Oct 8, 2004",Friday Night Lights,"$30,000,000","$61,255,921","$61,950,770"
"3,498","Oct 8, 2004",Raise Your Voice,"$15,000,000","$10,411,980","$14,811,980"
"6,534","Oct 8, 2004",Primer,"$7,000","$424,760","$841,926"
"3,188","Oct 8, 2008",RocknRolla,"$18,000,000","$5,700,626","$27,794,339"
"1,023","Oct 8, 2009",Couples Retreat,"$60,000,000","$109,205,660","$172,450,423"
"1,804","Oct 8, 2010",Life as We Know It,"$38,000,000","$53,374,681","$105,887,837"
"1,902","Oct 8, 2010",Secretariat,"$35,000,000","$59,699,513","$60,376,247"
"2,572","Oct 8, 2010",My Soul to Take,"$25,000,000","$14,744,435","$16,727,470"
"2,774","Oct 8, 2010",Stone,"$22,000,000","$1,810,078","$4,065,020"
"4,210","Oct 8, 2010",It's a Wonderful Afterlife,"$10,000,000",$0,"$1,642,939"
"4,406","Oct 8, 2010",It's Kind of a Funny Story,"$8,000,000","$6,363,628","$6,632,950"
"5,580","Oct 8, 2010",Inside Job,"$2,000,000","$4,311,834","$7,799,257"
"5,679","Oct 8, 2010",Nowhere Boy,"$1,900,000","$1,445,366","$7,785,229"
"5,713","Oct 8, 2010",I Spit on Your Grave,"$1,750,000","$93,051","$1,278,471"
"6,016","Oct 8, 2013",Zombie Hunter,"$1,000,000",$0,$0
"2,243","Oct 8, 2020",Honest Thief,"$30,000,000","$14,163,574","$32,609,631"
"5,529","Oct 9, 1971",The French Connection,"$2,200,000","$41,158,757","$41,161,514"
"5,858","Oct 9, 1992",Reservoir Dogs,"$1,200,000","$2,832,029","$2,990,680"
"1,117","Oct 9, 1998",Holy Man,"$60,000,000","$12,069,719","$12,069,719"
"5,818","Oct 9, 1998",Festen,"$1,300,000","$1,647,780","$1,649,337"
