Rank,date,primaryTitle_x,budget,domestic_gross,world_gross,title_x,year,name_id,tconst,titleType,primaryTitle_y,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,nconst,writers,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,title_y
"4,402",2011-04-29,Prom,"$8,000,000","$10,130,219","$10,763,183",prom,2011,prom2011,tt1604171,movie,prom,Prom,0,2011,\N,104,"Comedy,Drama,Family",5.4,15815,nm0638271,nm2251854,Joe Nussbaum,1973,\N,"producer,director,miscellaneous","tt0203523,tt0815244,tt3952746,tt1588878",prom
"2,306",2016-04-29,Florence Foster Jenkins,"$29,000,000","$27,383,770","$56,000,339",florence foster jenkins,2016,florence foster jenkins2016,tt4136084,movie,florence foster jenkins,Florence Foster Jenkins,0,2016,\N,111,"Biography,Comedy,Drama",6.8,60339,nm0001241,"nm0552842,nm12222824",Stephen Frears,1941,\N,"director,producer,actor","tt2431286,tt0094947,tt0301199,tt0436697",florence foster jenkins
"3,465",2016-04-29,Keanu,"$15,000,000","$20,591,853","$20,688,141",keanu,2016,keanu2016,tt4139124,movie,keanu,Keanu,0,2016,\N,100,"Action,Comedy,Crime",6.2,53002,nm1534595,"nm1443502,nm4621803",Peter Atencio,1983,\N,"director,producer,editor","tt1981558,tt4139124,tt6682754,tt16911616",keanu
709,1998-04-03,Lost In Space,"$80,000,000.00","$69,117,629.00","$136,047,317.00",lost in space,1998,lost in space1998,tt0120738,movie,lost in space,Lost in Space,0,1998,\N,130,"Action,Adventure,Sci-Fi",5.2,75495,nm0394280,"nm0000740,nm0326040",Stephen Hopkins,\N,\N,"producer,director,miscellaneous","tt0120738,tt0097981,tt0100403,tt0352520",lost in space
"1,093",1998-04-03,Mercury Rising,"$60,000,000","$32,983,332","$32,983,332",mercury rising,1998,mercury rising1998,tt0120749,movie,mercury rising,Mercury Rising,0,1998,\N,111,"Action,Crime,Drama",6.1,78766,nm0000887,"nm0669379,nm0465199,nm0742797",Harold Becker,1928,\N,"director,producer,cinematographer","tt0107497,tt0120749,tt0098273,tt0249478",mercury rising
"3,493",1998-04-03,Barney's Great Adventure,"$15,000,000","$11,156,471","$11,156,471",barney's great adventure,1998,barney's great adventure1998,tt0120598,movie,barney's great adventure,Barney's Great Adventure,0,1998,\N,76,"Adventure,Comedy,Drama",3.2,3699,nm0326837,"nm0002585,nm0494866,nm0221188,nm1430641",Steve Gomer,\N,\N,"director,producer,miscellaneous","tt4663548,tt0117784,tt0106934,tt0094086",barney's great adventure
"4,230",2009-04-03,Adventureland,"$9,800,000","$16,044,025","$17,553,055",adventureland,2009,adventureland2009,tt1091722,movie,adventureland,Adventureland,0,2009,\N,107,"Comedy,Drama,Romance",6.8,170901,nm0609549,nm0609549,Greg Mottola,1964,\N,"producer,director,writer","tt1091722,tt0116041,tt0829482,tt1082583",adventureland
"3,242",2013-04-03,Evil Dead,"$17,000,000","$54,239,856","$99,010,045",evil dead,2013,evil dead2013,tt1288558,movie,evil dead,Evil Dead,0,2013,\N,91,Horror,6.5,202311,nm1793079,"nm1793079,nm2140186,nm0000600",Fede Alvarez,1978,\N,"writer,producer,director","tt18412256,tt4160708,tt1288558,tt5177088",evil dead
625,2019-04-03,Shazam!,"$85,000,000.00","$140,371,656.00","$363,563,907.00",shazam!,2019,shazam!2019,tt0448115,movie,shazam!,Shazam!,0,2019,\N,132,"Action,Adventure,Comedy",7.0,392463,nm2497546,"nm2849655,nm0501359,nm1791910,nm1304148",David F. Sandberg,1981,\N,"director,writer,producer","tt0448115,tt4786282,tt5140878,tt0932674",shazam!
"5,837",1981-04-30,Friday the 13th Part 2,"$1,250,000","$21,722,776","$21,722,776",friday the 13th part 2,1981,friday the 13th part 21981,tt0082418,movie,friday the 13th part 2,Friday the 13th Part 2,0,1981,\N,87,"Horror,Mystery,Thriller",6.1,80643,nm0591171,"nm0413826,nm0566699,nm0192446",Steve Miner,1951,\N,"director,producer,actor","tt0091223,tt0098622,tt0120694,tt0082418",friday the 13th part 2
