date,Movie,budget,domestic_revenue,world_revenue,year,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes
1987-05-01,American Ninja 2: The Confrontation,350000.0,4000000.0,4000000.0,1987,American Ninja 2: The Confrontation,0,1987,90,Drama,4.9,9956
1991-08-02,Return to the Blue Lagoon,11000000.0,2000000.0,2000000.0,1991,Return to the Blue Lagoon,0,1991,102,Adventure,5.2,22022
1991-08-02,Return to the Blue Lagoon,11000000.0,2000000.0,2000000.0,1991,Return to the Blue Lagoon,0,1991,102,Drama,5.2,22022
1991-08-02,Return to the Blue Lagoon,11000000.0,2000000.0,2000000.0,1991,Return to the Blue Lagoon,0,1991,102,Romance,5.2,22022
1991-08-23,Showdown in Little Tokyo,8000000.0,2275557.0,2275557.0,1991,Showdown in Little Tokyo,0,1991,79,Action,6.1,21155
1991-08-23,Showdown in Little Tokyo,8000000.0,2275557.0,2275557.0,1991,Showdown in Little Tokyo,0,1991,79,Comedy,6.1,21155
1991-08-23,Showdown in Little Tokyo,8000000.0,2275557.0,2275557.0,1991,Showdown in Little Tokyo,0,1991,79,Crime,6.1,21155
1991-08-21,Johnny Suede,500000.0,55000.0,55000.0,1991,Johnny Suede,0,1991,97,Comedy,5.8,4517
1991-08-21,Johnny Suede,500000.0,55000.0,55000.0,1991,Johnny Suede,0,1991,97,Drama,5.8,4517
1991-08-21,Johnny Suede,500000.0,55000.0,55000.0,1991,Johnny Suede,0,1991,97,Music,5.8,4517
1991-06-14,Straight out of Brooklyn,450000.0,2712293.0,2712293.0,1991,Straight Out of Brooklyn,0,1991,91,Crime,5.8,680
1991-06-14,Straight out of Brooklyn,450000.0,2712293.0,2712293.0,1991,Straight Out of Brooklyn,0,1991,91,Drama,5.8,680
1993-11-24,The Nutcracker,19000000.0,2119994.0,2119994.0,1993,The Nutcracker,0,1993,92,Family,5.8,2474
1993-11-24,The Nutcracker,19000000.0,2119994.0,2119994.0,1993,The Nutcracker,0,1993,92,Fantasy,5.8,2474
1993-11-24,The Nutcracker,19000000.0,2119994.0,2119994.0,1993,The Nutcracker,0,1993,92,Music,5.8,2474
1993-08-27,Only the Strong,6000000.0,3273588.0,3273588.0,1993,Only the Strong,0,1993,99,Action,6.5,7088
1993-08-27,Only the Strong,6000000.0,3273588.0,3273588.0,1993,Only the Strong,0,1993,99,Drama,6.5,7088
1993-10-29,Return of the Living Dead 3,2000000.0,21000.0,21000.0,1993,Return of the Living Dead III,0,1993,97,Horror,5.9,17230
1993-10-17,Ed and his Dead Mother,1800000.0,673.0,673.0,1993,Ed and His Dead Mother,0,1993,93,Comedy,6.0,2464
1993-10-17,Ed and his Dead Mother,1800000.0,673.0,673.0,1993,Ed and His Dead Mother,0,1993,93,Horror,6.0,2464
1969-04-01,Sweet Charity,20000000.0,8000000.0,8000000.0,1969,Sweet Charity,0,1969,149,Comedy,6.9,7049
1969-04-01,Sweet Charity,20000000.0,8000000.0,8000000.0,1969,Sweet Charity,0,1969,149,Drama,6.9,7049
1969-04-01,Sweet Charity,20000000.0,8000000.0,8000000.0,1969,Sweet Charity,0,1969,149,Music,6.9,7049
1986-04-01,My Beautiful Laundrette,400000.0,0.0,9442.0,1986,My Beautiful Laundrette,0,1985,97,Comedy,6.8,17642
1986-04-01,My Beautiful Laundrette,400000.0,0.0,9442.0,1986,My Beautiful Laundrette,0,1985,97,Drama,6.8,17642
1986-04-01,My Beautiful Laundrette,400000.0,0.0,9442.0,1986,My Beautiful Laundrette,0,1985,97,Romance,6.8,17642
1988-04-01,"Bright Lights, Big City",25000000.0,16118077.0,16118077.0,1988,"Bright Lights, Big City",0,1988,107,Drama,5.7,9162
1996-04-01,Bang,10000.0,527.0,527.0,1996,,0,2015,\N,Action,7.2,7
1996-04-01,Bang,10000.0,527.0,527.0,1996,,0,2015,\N,Drama,7.2,7
1996-04-01,Bang,10000.0,527.0,527.0,1996,,0,2015,\N,Mystery,7.2,7
2005-04-01,Sin City,40000000.0,74103820.0,158527918.0,2005,,0,2015,\N,Action,7.2,7
2005-04-01,Sin City,40000000.0,74103820.0,158527918.0,2005,,0,2015,\N,Drama,7.2,7
2005-04-01,Sin City,40000000.0,74103820.0,158527918.0,2005,,0,2015,\N,Mystery,7.2,7
2010-04-01,Clash of the Titans,125000000.0,163214888.0,493214888.0,2010,Clash of the Titans,0,2010,106,Action,5.8,295600
2010-04-01,Clash of the Titans,125000000.0,163214888.0,493214888.0,2010,Clash of the Titans,0,2010,106,Adventure,5.8,295600
2010-04-01,Clash of the Titans,125000000.0,163214888.0,493214888.0,2010,Clash of the Titans,0,2010,106,Fantasy,5.8,295600
