date,primaryTitle_x,budget,domestic_gross,world_gross,year,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,primaryName,birthYear
1997-04-11,Anaconda,"$45,000,000","$65,598,907","$136,998,907",1997,Anaconda,0,1997,89,"Action,Adventure,Horror",4.9,114273,Luis Llosa,1951
1997-04-11,Grosse Pointe Blank,"$15,000,000","$28,084,357","$31,070,412",1997,Grosse Pointe Blank,0,1997,107,"Action,Comedy,Crime",7.3,101182,George Armitage,1942
1997-04-11,Pink Flamingos,"$12,000","$413,802","$413,802",1997,Pink Flamingos,0,1972,93,"Comedy,Crime",6.0,28686,John Waters,1946
2001-04-11,Josie and the Pussycats,"$22,000,000","$14,252,830","$14,307,223",2001,Josie and the Pussycats,0,2001,98,"Comedy,Music",5.6,25246,Harry Elfont,\N
2001-04-11,Josie and the Pussycats,"$22,000,000","$14,252,830","$14,307,223",2001,Josie and the Pussycats,0,2001,98,"Comedy,Music",5.6,25246,Deborah Kaplan,1970
2001-04-11,Joe Dirt,"$16,000,000","$27,087,695","$30,987,695",2001,Joe Dirt,0,2001,91,"Adventure,Comedy,Drama",6.0,62004,Dennie Gordon,1953
2001-04-11,Kingdom Come,"$7,000,000","$23,247,539","$23,393,939",2001,Kingdom Come,0,2001,94,"Comedy,Drama",5.5,2499,Doug McHenry,\N
2003-04-11,Anger Management,"$56,000,000","$135,560,942","$195,484,552",2003,Anger Management,0,2003,106,Comedy,6.3,231643,Peter Segal,1962
2003-04-11,Johnny English,"$45,000,000","$28,013,509","$161,735,791",2003,Johnny English,0,2003,87,"Action,Adventure,Comedy",6.3,177060,Peter Howitt,1957
2003-04-11,"House of 1,000 Corpses","$7,000,000","$12,634,962","$17,005,466",2003,House of 1000 Corpses,0,2003,89,Horror,6.0,95722,Rob Zombie,1965
2003-04-11,The Young Unknowns,"$800,000","$58,163","$58,163",2003,The Young Unknowns,0,2000,87,Drama,4.1,220,Catherine Jelski,\N
2003-04-11,Better Luck Tomorrow,"$250,000","$3,802,390","$3,809,226",2003,Better Luck Tomorrow,0,2002,101,"Crime,Drama,Romance",7.0,10570,Justin Lin,1971
2008-04-11,Street Kings,"$20,000,000","$26,418,667","$65,457,811",2008,Street Kings,0,2008,109,"Action,Crime,Thriller",6.8,122501,David Ayer,1968
2008-04-11,Prom Night,"$18,000,000","$43,869,350","$57,193,655",2008,Prom Night,0,2008,88,Horror,3.9,38604,Nelson McCormick,\N
2008-04-11,The Visitor,"$4,000,000","$9,427,026","$19,174,817",2008,Muukalainen,0,2008,105,Drama,6.3,628,J.-P. Valkeapää,1977
2012-04-11,Battleship,"$220,000,000.00","$65,233,400.00","$313,477,717.00",2012,Battleship,0,2012,131,"Action,Adventure,Sci-Fi",5.8,260257,Peter Berg,1964
2012-04-11,Le fils de l’autre,"$2,700,000","$1,220,807","$5,969,923",2012,Le fils de l'autre,0,1932,70,Drama,7.0,8,Henri de la Falaise,1898
2013-04-11,Scary Movie V,"$20,000,000","$32,015,787","$78,613,981",2013,Scary Movie 5,0,2013,86,"Comedy,Horror",3.5,78589,Malcolm D. Lee,1970
2013-04-11,Scary Movie V,"$20,000,000","$32,015,787","$78,613,981",2013,Scary Movie 5,0,2013,86,"Comedy,Horror",3.5,78589,David Zucker,1947
2013-04-11,Absentia,"$70,000",$0,"$8,555",2013,Absentia,0,2011,87,"Drama,Horror,Mystery",5.8,20507,Mike Flanagan,1978
2014-04-11,Draft Day,"$25,000,000","$28,842,237","$29,847,480",2014,Draft Day,0,2014,110,"Drama,Sport",6.8,68382,Ivan Reitman,1946
2014-04-11,The Railway Man,"$18,000,000","$4,438,438","$23,910,210",2014,The Railway Man,0,2013,116,"Biography,Drama,Romance",7.1,43023,Jonathan Teplitzky,\N
2014-04-11,Oculus,"$5,000,000","$27,695,246","$44,115,496",2014,,0,2015,\N,"Action,Drama,Mystery",7.2,7,G.M. Whiting,2000
2014-04-11,Joe,"$4,000,000","$373,375","$373,375",2014,,0,2015,\N,"Action,Drama,Mystery",7.2,7,G.M. Whiting,2000
2014-04-11,Jesus People,"$250,000",$0,$0,2014,,0,2015,\N,"Action,Drama,Mystery",7.2,7,G.M. Whiting,2000
