Rank,date,primaryTitle_x,budget,domestic_gross,world_gross,year,name_id_x,matched_name,tconst,titleType,primaryTitle_y,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,nconst,writers,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,name_id_y
"6,318",2008-03-28,Happy Valley,"$250,000","$67,665","$67,665",2008,Happy Valley2008,Happy Valley2008,tt1263682,movie,Happy Valley,Happy Valley,0,2008,\N,90,Documentary,6.5,81,nm3077898,\N,R.K. Williams,\N,\N,"director,actor,producer","tt1326934,tt1263682",Happy Valley2008
252,2012-03-28,Wrath of the Titans,"$150,000,000.00","$83,670,083.00","$305,270,083.00",2012,Wrath of the Titans2012,Wrath of the Titans2012,tt1646987,movie,Wrath of the Titans,Wrath of the Titans,0,2012,\N,99,"Action,Adventure,Fantasy",5.7,197357,nm0509448,"nm2669197,nm0424901,nm0075528,nm0189117",Jonathan Liebesman,1976,\N,"producer,director,writer","tt1291150,tt1217613,tt0259323,tt0282209",Wrath of the Titans2012
"1,216",2012-03-28,The Pirates! Band of Misfits,"$55,000,000","$31,051,126","$136,143,605",2012,The Pirates! Band of Misfits2012,,tt5774076,movie,,,0,2015,\N,\N,"Action,Drama,Mystery",7.2,7,nm6825011,nm6825011,G.M. Whiting,2000,\N,"writer,director,editor","tt5008786,tt5713846,tt6255554,tt5207964",
167,2014-03-28,Captain America: The Winter Soldier,"$170,000,000.00","$259,746,958.00","$714,401,889.00",2014,Captain America: The Winter Soldier2014,,tt5774076,movie,,,0,2015,\N,\N,"Action,Drama,Mystery",7.2,7,nm6825011,nm6825011,G.M. Whiting,2000,\N,"writer,director,editor","tt5008786,tt5713846,tt6255554,tt5207964",
"1,980",2014-03-28,Sabotage,"$35,000,000","$10,508,518","$18,376,443",2014,Sabotage2014,Sabotage2014,tt1742334,movie,Sabotage,Sabotage,0,2014,\N,109,"Action,Crime,Drama",5.7,66904,nm0043742,"nm0940790,nm0043742",David Ayer,1968,\N,"producer,writer,director","tt1855199,tt1742334,tt1386697,tt0433387",Sabotage2014
"5,450",2014-03-28,Ida,"$2,600,000","$3,827,060","$15,277,215",2014,Ida2014,Mida2014,tt4045320,movie,Mida,Mida,0,2014,\N,88,Animation,2.0,20,nm5831825,\N,Kent Chang,\N,\N,"visual_effects,director","tt4045320,tt2459496,tt3166476",Mida2014
"6,289",2014-03-28,Locker 13,"$300,000","$3,496","$3,496",2014,Locker 132014,,tt5774076,movie,,,0,2015,\N,\N,"Action,Drama,Mystery",7.2,7,nm6825011,nm6825011,G.M. Whiting,2000,\N,"writer,director,editor","tt5008786,tt5713846,tt6255554,tt5207964",
"5,422",1959-03-29,Some Like it Hot,"$2,883,848","$25,000,000","$25,038,874",1959,Some Like it Hot1959,Some Like It Hot1959,tt0053291,movie,Some Like It Hot,Some Like It Hot,0,1959,\N,121,"Comedy,Music,Romance",8.2,288073,nm0000697,"nm0000697,nm0224634,nm0858329,nm0517615",Billy Wilder,1906,2002,"writer,director,producer","tt0053604,tt0053291,tt0047437,tt0043014",Some Like It Hot1959
"4,522",1974-03-29,The Great Gatsby,"$7,000,000","$26,533,200","$26,533,200",1974,The Great Gatsby1974,The Great Gatsby1974,tt0071577,movie,The Great Gatsby,The Great Gatsby,0,1974,\N,144,"Drama,Romance",6.4,27221,nm0002338,"nm0280234,nm0000338",Jack Clayton,1921,1995,"producer,assistant_director,director","tt0055018,tt0062089,tt0071577,tt0297626",The Great Gatsby1974
"1,789",1996-03-29,Sgt. Bilko,"$39,000,000","$30,356,589","$37,956,589",1996,Sgt. Bilko1996,Sgt. Bilko1996,tt0117608,movie,Sgt. Bilko,Sgt. Bilko,0,1996,\N,94,Comedy,5.8,24202,nm0528718,"nm0383733,nm0106563",Jonathan Lynn,1943,\N,"writer,actor,director","tt0088930,tt0100280,tt0104952,tt0080306",Sgt. Bilko1996
