budget,domestic_revenue,world_revenue,year,runtimeMinutes,averageRating,numVotes
25000000.0,4598506.0,12850033.0,2008,107.0,6.0,41222
23000000.0,10452.0,4673377.0,2008,106.0,7.2,7
12000000.0,38108728.0,43353117.0,2008,106.0,7.2,7
5000000.0,228830.0,332120.0,2008,116.0,7.4,4137
225000000.0,623357910.0,1515100211.0,2012,143.0,8.0,1481571
32500000.0,21819348.0,48425971.0,2013,89.0,5.6,52462
2000000.0,1370646.0,2088390.0,2014,106.0,7.2,7
420000.0,258384.0,437002.0,2014,90.0,7.1,81068
300000000.0,678815482.0,2048359754.0,2018,106.0,7.2,7
3500000.0,27467564.0,27936778.0,1995,91.0,7.2,127402
40000000.0,14448589.0,14448589.0,2002,103.0,5.8,28380
18000000.0,676698.0,676698.0,2002,103.0,7.0,32267
14000000.0,13121555.0,16951798.0,2002,92.0,4.5,62995
400000.0,1293295.0,1600566.0,2002,91.0,7.6,13472
15000000.0,528731.0,528731.0,2013,130.0,6.8,14676
10000000.0,21590086.0,31556959.0,2013,106.0,7.2,7
6000000.0,20335239.0,21220422.0,2024,106.0,7.2,7
550000.0,5269990.0,5269990.0,1984,101.0,7.0,1847
3000000.0,15000000.0,15000000.0,1990,100.0,5.3,4021
105000000.0,6712451.0,10364769.0,2001,104.0,4.5,5311
72000000.0,32616869.0,54616869.0,2001,116.0,4.6,43564
5000000.0,6755271.0,6755271.0,2001,90.0,5.3,9337
70000000.0,18211013.0,73591500.0,2007,96.0,6.2,168332
10800000.0,399879.0,2862544.0,2007,123.0,6.3,7120
7400000.0,872643.0,9443864.0,2007,153.0,5.7,5773
33000000.0,17142080.0,41495213.0,2012,94.0,6.5,119704
30000000.0,28700285.0,61623819.0,2012,124.0,6.2,103203
7500000.0,0.0,13524.0,2012,101.0,4.8,339
6000000.0,9204489.0,10106975.0,2012,106.0,7.2,7
900000.0,7396.0,7396.0,2012,94.0,6.6,10958
135000.0,408015.0,429448.0,2012,85.0,6.6,23161
23000000.0,0.0,58807172.0,2017,106.0,7.2,7
410000.0,0.0,217.0,1955,106.0,7.5,22455
12000000.0,22744718.0,41744718.0,1967,106.0,7.2,7
58000000.0,35231365.0,59431365.0,2000,90.0,3.7,25903
31000000.0,44983704.0,68079671.0,2000,118.0,7.4,117502
15000000.0,33771174.0,40862054.0,2000,120.0,6.7,36942
55000000.0,71724497.0,87473024.0,2006,106.0,7.2,7
20000000.0,26910736.0,30399714.0,2006,103.0,6.4,30884
18000000.0,31567134.0,77635035.0,2006,111.0,7.6,112243
9600000.0,2484186.0,5256839.0,2006,144.0,6.5,9978
8000000.0,18848430.0,18959424.0,2006,112.0,7.4,21962
3000000.0,5529144.0,11322573.0,2006,97.0,6.9,3315
425000.0,80301.0,581304.0,2006,106.0,7.2,7
12000.0,1336.0,1336.0,2006,106.0,7.2,7
10000.0,138711.0,138711.0,2006,106.0,7.2,7
200000000.0,389813101.0,869087963.0,2017,136.0,7.6,776034
30000000.0,18985794.0,263502914.0,2017,167.0,8.2,118448
18000000.0,20497844.0,45497689.0,2017,93.0,4.8,533
18000000.0,20497844.0,45497689.0,2017,110.0,5.4,101980
10000000.0,32149404.0,62556228.0,2017,115.0,6.0,18133
916000.0,6179955.0,6188421.0,2017,98.0,5.7,2781
250000.0,3930990.0,3934450.0,2017,89.0,5.9,9338
30000000.0,20372406.0,21581824.0,2023,106.0,7.3,30677
9000000.0,4333569.0,4333569.0,1994,79.0,6.5,14775
60000000.0,26873932.0,71073932.0,2005,101.0,4.5,74325
45000000.0,51019112.0,102746214.0,2005,109.0,6.7,210444
7303082.0,55334418.0,101173038.0,2005,73.0,7.7,76
1400000.0,304124.0,1261792.0,2005,106.0,6.7,4403
